id,heartrate,tp,vlf,lf,hf,lfnu,hfnu,lfhf,vlf%,lv%,hf%
0,90,1231,752,323,156,67.5,32.5,2.08,61.1,26.3,12.7
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,88,2738,1496,750,492,60.4,39.6,1.53,54.6,27.4,18
5,78,2737,1496,750,492,60.4,39.6,1.53,54.6,27.4,18
6,,,,,,,,,,,
7,87,1359,520,564,275,67.2,32.8,2.05,38.3,41.5,20.2
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,100,1558,587,603,367,62.1,37.9,1.64,37.7,38.7,23.6
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,104,1328,559,440,328,57.3,42.7,1.34,42.1,33.1,24.7
21,,,,,,,,,,,
22,88,4683,1753,1631,1299,55.7,44.3,1.26,37.4,34.8,27.7
23,108,2513,734,1010,769,56.8,43.2,1.31,29.2,40.2,30.6
24,,,,,,,,,,,
25,100,1006,472,211,323,85.4,14.6,0.65,47,21,32
26,79,5426,2127,1491,1808,45.2,54.8,0.82,39.2,27.5,33.3
27,,,,,,,,,,,
28,102,3302,501,1552,1249,55.4,44.6,1.24,15.2,47,37.8
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,108,1666,686,293,687,29.9,70.1,0.43,41.2,17.6,41.2
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,98,1116,194,455,467,49.3,50.7,0.97,17.4,40.7,41.9
39,,,,,,,,,,,
40,95,3853,709,1517,1627,48.2,51.8,0.93,18.4,39.4,42.2
41,80,950,273,272,404,40.3,59.7,0.67,28.7,28.7,42.6
42,97,2736,514,1047,1175,47.1,52.9,0.89,18.8,38.3,42.9
43,,,,,,,,,,,
44,88,3400,1043,857,1500,36.3,63.7,0.6,30.7,25.2,44.1
45,112,2582,652,733,1197,38,62,0.61,25.2,28.4,46.4
46,117,3878,983,1050,1845,36.3,63.7,0.57,25.3,27.1,47.6
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,106,1485,332,389,764,33.7,66.3,0.51,22.3,26.2,51.5
56,100,5352,1905,483,2964,86,14,0.16,35.6,9.02,55.4
57,,,,,,,,,,,
58,100,2939,246,860,1833,31.9,68.1,0.47,8.3,29.3,62.4
59,104,8338,681,2317,5340,30.3,69.7,0.43,8.2,27.8,64
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,99,1048,207,162,679,19.3,80.7,0.24,19.7,15.5,64.8
67,80,1394,104,290,1000,22.5,77.5,0.3,7.5,20.8,71.7
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,79,7137,894,992,5251,15.9,84.1,0.19,12.5,13.9,73.6
72,82,7280,1135,687,5458,11.2,88.8,0.13,15.6,9.44,75
